Host Country,Year,Sex,AROPE %,COB
No Data,-,-,0,-
United Kingdom,'06,Females,33.2,Foreign country
United Kingdom,'06,Females,23,Reporting country
United Kingdom,'06,Males,28.9,Foreign country
United Kingdom,'06,Males,18.6,Reporting country
United Kingdom,'06,Total,31.3,Foreign country
United Kingdom,'06,Total,20.9,Reporting country
United Kingdom,'07,Females,29.2,Foreign country
United Kingdom,'07,Females,22.2,Reporting country
United Kingdom,'07,Males,30.9,Foreign country
United Kingdom,'07,Males,18,Reporting country
United Kingdom,'07,Total,30,Foreign country
United Kingdom,'07,Total,20.1,Reporting country
United Kingdom,'08,Females,30.6,Foreign country
United Kingdom,'08,Females,23.1,Reporting country
United Kingdom,'08,Males,25.9,Foreign country
United Kingdom,'08,Males,18.6,Reporting country
United Kingdom,'08,Total,28.4,Foreign country
United Kingdom,'08,Total,20.9,Reporting country
United Kingdom,'09,Females,18.4,EU-28
United Kingdom,'09,Females,31.2,Extra-EU-28
United Kingdom,'09,Females,26.8,Foreign country
United Kingdom,'09,Females,20.6,Reporting country
United Kingdom,'09,Males,22.4,EU-28
United Kingdom,'09,Males,31.8,Extra-EU-28
United Kingdom,'09,Males,28.7,Foreign country
United Kingdom,'09,Males,18.4,Reporting country
United Kingdom,'09,Total,20.3,EU-28
United Kingdom,'09,Total,31.5,Extra-EU-28
United Kingdom,'09,Total,27.8,Foreign country
United Kingdom,'09,Total,19.5,Reporting country
United Kingdom,'10,Females,19,EU-28
United Kingdom,'10,Females,32.4,Extra-EU-28
United Kingdom,'10,Females,28.1,Foreign country
United Kingdom,'10,Females,22.2,Reporting country
United Kingdom,'10,Males,15.5,EU-28
United Kingdom,'10,Males,33.7,Extra-EU-28
United Kingdom,'10,Males,28.3,Foreign country
United Kingdom,'10,Males,18.5,Reporting country
United Kingdom,'10,Total,17.4,EU-28
United Kingdom,'10,Total,33,Extra-EU-28
United Kingdom,'10,Total,28.2,Foreign country
United Kingdom,'10,Total,20.4,Reporting country
United Kingdom,'11,Females,26,EU-28
United Kingdom,'11,Females,36.2,Extra-EU-28
United Kingdom,'11,Females,32.8,Foreign country
United Kingdom,'11,Females,21.9,Reporting country
United Kingdom,'11,Males,15,EU-28
United Kingdom,'11,Males,34.2,Extra-EU-28
United Kingdom,'11,Males,28.6,Foreign country
United Kingdom,'11,Males,18.3,Reporting country
United Kingdom,'11,Total,21.3,EU-28
United Kingdom,'11,Total,35.2,Extra-EU-28
United Kingdom,'11,Total,30.9,Foreign country
United Kingdom,'11,Total,20.2,Reporting country
United Kingdom,'12,Females,19.3,EU-28
United Kingdom,'12,Females,34,Extra-EU-28
United Kingdom,'12,Females,29.4,Foreign country
United Kingdom,'12,Females,22.2,Reporting country
United Kingdom,'12,Males,21.2,EU-28
United Kingdom,'12,Males,32.8,Extra-EU-28
United Kingdom,'12,Males,29.3,Foreign country
United Kingdom,'12,Males,20.2,Reporting country
United Kingdom,'12,Total,20.2,EU-28
United Kingdom,'12,Total,33.4,Extra-EU-28
United Kingdom,'12,Total,29.3,Foreign country
United Kingdom,'12,Total,21.2,Reporting country
United Kingdom,'13,Females,22,EU-28
United Kingdom,'13,Females,35.1,Extra-EU-28
United Kingdom,'13,Females,30.4,Foreign country
United Kingdom,'13,Females,23,Reporting country
United Kingdom,'13,Males,21.4,EU-28
United Kingdom,'13,Males,35.5,Extra-EU-28
United Kingdom,'13,Males,30.3,Foreign country
United Kingdom,'13,Males,19.9,Reporting country
United Kingdom,'13,Total,21.7,EU-28
United Kingdom,'13,Total,35.3,Extra-EU-28
United Kingdom,'13,Total,30.4,Foreign country
United Kingdom,'13,Total,21.5,Reporting country
United Kingdom,'14,Females,21.8,EU-28
United Kingdom,'14,Females,33.2,Extra-EU-28
United Kingdom,'14,Females,29.2,Foreign country
United Kingdom,'14,Females,22.8,Reporting country
United Kingdom,'14,Males,17,EU-28
United Kingdom,'14,Males,33,Extra-EU-28
United Kingdom,'14,Males,27.4,Foreign country
United Kingdom,'14,Males,19.4,Reporting country
United Kingdom,'14,Total,19.5,EU-28
United Kingdom,'14,Total,33.2,Extra-EU-28
United Kingdom,'14,Total,28.3,Foreign country
United Kingdom,'14,Total,21.1,Reporting country
United Kingdom,'15,Females,23.2,EU-28
United Kingdom,'15,Females,35.3,Extra-EU-28
United Kingdom,'15,Females,30.9,Foreign country
United Kingdom,'15,Females,20.8,Reporting country
United Kingdom,'15,Males,21.5,EU-28
United Kingdom,'15,Males,38.1,Extra-EU-28
United Kingdom,'15,Males,31.9,Foreign country
United Kingdom,'15,Males,19,Reporting country
United Kingdom,'15,Total,22.4,EU-28
United Kingdom,'15,Total,36.6,Extra-EU-28
United Kingdom,'15,Total,31.4,Foreign country
United Kingdom,'15,Total,19.9,Reporting country
Turkey,'06,Females,53.8,Foreign country
Turkey,'06,Females,64.2,Reporting country
Turkey,'06,Males,50.9,Foreign country
Turkey,'06,Males,63.1,Reporting country
Turkey,'06,Total,52.4,Foreign country
Turkey,'06,Total,63.7,Reporting country
Turkey,'07,Females,46.8,Foreign country
Turkey,'07,Females,62.8,Reporting country
Turkey,'07,Males,47.6,Foreign country
Turkey,'07,Males,61.2,Reporting country
Turkey,'07,Total,47.2,Foreign country
