Host Country,Year,Sex,AROPE %,Citizen
No Data,-,-,0,-
United Kingdom,'06,Females,33.3,Foreign country
United Kingdom,'06,Females,23.6,Reporting country
United Kingdom,'06,Males,26,Foreign country
United Kingdom,'06,Males,19.4,Reporting country
United Kingdom,'06,Total,29.9,Foreign country
United Kingdom,'06,Total,21.6,Reporting country
United Kingdom,'07,Females,27.5,Foreign country
United Kingdom,'07,Females,22.7,Reporting country
United Kingdom,'07,Males,28.1,Foreign country
United Kingdom,'07,Males,18.8,Reporting country
United Kingdom,'07,Total,27.8,Foreign country
United Kingdom,'07,Total,20.8,Reporting country
United Kingdom,'08,Females,22.7,Foreign country
United Kingdom,'08,Females,23.9,Reporting country
United Kingdom,'08,Males,21.5,Foreign country
United Kingdom,'08,Males,19.2,Reporting country
United Kingdom,'08,Total,22.1,Foreign country
United Kingdom,'08,Total,21.6,Reporting country
United Kingdom,'09,Females,21.1,EU-28
United Kingdom,'09,Females,27.9,Extra-EU-28
United Kingdom,'09,Females,24.5,Foreign country
United Kingdom,'09,Females,21.2,Reporting country
United Kingdom,'09,Males,25.3,EU-28
United Kingdom,'09,Males,33.2,Extra-EU-28
United Kingdom,'09,Males,29.4,Foreign country
United Kingdom,'09,Males,18.9,Reporting country
United Kingdom,'09,Total,23.1,EU-28
United Kingdom,'09,Total,30.6,Extra-EU-28
United Kingdom,'09,Total,26.9,Foreign country
United Kingdom,'09,Total,20.1,Reporting country
United Kingdom,'10,Females,20.8,EU-28
United Kingdom,'10,Females,31.7,Extra-EU-28
United Kingdom,'10,Females,25.9,Foreign country
United Kingdom,'10,Females,22.8,Reporting country
United Kingdom,'10,Males,16.2,EU-28
United Kingdom,'10,Males,42.2,Extra-EU-28
United Kingdom,'10,Males,28.7,Foreign country
United Kingdom,'10,Males,19,Reporting country
United Kingdom,'10,Total,18.7,EU-28
United Kingdom,'10,Total,36.7,Extra-EU-28
United Kingdom,'10,Total,27.2,Foreign country
United Kingdom,'10,Total,21,Reporting country
United Kingdom,'11,Females,26.7,EU-28
United Kingdom,'11,Females,35.9,Extra-EU-28
United Kingdom,'11,Females,31.1,Foreign country
United Kingdom,'11,Females,23.1,Reporting country
United Kingdom,'11,Males,15.1,EU-28
United Kingdom,'11,Males,41,Extra-EU-28
United Kingdom,'11,Males,28.5,Foreign country
United Kingdom,'11,Males,19,Reporting country
United Kingdom,'11,Total,21.6,EU-28
United Kingdom,'11,Total,38.4,Extra-EU-28
United Kingdom,'11,Total,29.9,Foreign country
United Kingdom,'11,Total,21.1,Reporting country
United Kingdom,'12,Females,22.4,EU-28
United Kingdom,'12,Females,28.6,Extra-EU-28
United Kingdom,'12,Females,25.8,Foreign country
United Kingdom,'12,Females,22.9,Reporting country
United Kingdom,'12,Males,20.4,EU-28
United Kingdom,'12,Males,31.8,Extra-EU-28
United Kingdom,'12,Males,26.3,Foreign country
United Kingdom,'12,Males,20.8,Reporting country
United Kingdom,'12,Total,21.4,EU-28
United Kingdom,'12,Total,30.1,Extra-EU-28
United Kingdom,'12,Total,26,Foreign country
United Kingdom,'12,Total,21.9,Reporting country
United Kingdom,'13,Females,23.3,EU-28
United Kingdom,'13,Females,35.3,Extra-EU-28
United Kingdom,'13,Females,28.9,Foreign country
United Kingdom,'13,Females,23.6,Reporting country
United Kingdom,'13,Males,24,EU-28
