Year,Name,Count,Expt,Gender,AgeGrp
2007,Bulgaria,0,1,Female,0 to 4
2007,Bulgaria,6,1,Male,0 to 4
2007,Bulgaria,6,2,Female,5 to 11
2007,Bulgaria,13,2,Male,5 to 11
2007,Bulgaria,8,3,Female,12 to 17
2007,Bulgaria,57,3,Male,12 to 17
2007,Bulgaria,91,4,Female,18 to 59
2007,Bulgaria,791,4,Male,18 to 59
2007,Bulgaria,3,5,Female,Above 60
2007,Bulgaria,0,5,Male,Above 60
2007,Bulgaria,0,6,Female,Unknown
2007,Bulgaria,0,6,Male,Unknown
2007,Croatia,4,1,Female,0 to 4
2007,Croatia,1,1,Male,0 to 4
2007,Croatia,5,2,Female,5 to 11
2007,Croatia,2,2,Male,5 to 11
2007,Croatia,0,3,Female,12 to 17
2007,Croatia,3,3,Male,12 to 17
2007,Croatia,6,4,Female,18 to 59
2007,Croatia,33,4,Male,18 to 59
2007,Croatia,0,5,Female,Above 60
2007,Croatia,0,5,Male,Above 60
2007,Croatia,0,6,Female,Unknown
2007,Croatia,0,6,Male,Unknown
2007,Czech Rep.,0,1,Female,0 to 4
2007,Czech Rep.,0,1,Male,0 to 4
2007,Czech Rep.,0,2,Female,5 to 11
2007,Czech Rep.,0,2,Male,5 to 11
2007,Czech Rep.,0,3,Female,12 to 17
2007,Czech Rep.,0,3,Male,12 to 17
2007,Czech Rep.,0,4,Female,18 to 59
2007,Czech Rep.,0,4,Male,18 to 59
2007,Czech Rep.,0,5,Female,Above 60
2007,Czech Rep.,0,5,Male,Above 60
2007,Czech Rep.,367,6,Female,Unknown
2007,Czech Rep.,596,6,Male,Unknown
2007,Estonia,0,1,Female,0 to 4
2007,Estonia,0,1,Male,0 to 4
2007,Estonia,0,2,Female,5 to 11
2007,Estonia,0,2,Male,5 to 11
2007,Estonia,0,3,Female,12 to 17
2007,Estonia,0,3,Male,12 to 17
2007,Estonia,0,4,Female,18 to 59
2007,Estonia,3,4,Male,18 to 59
2007,Estonia,0,5,Female,Above 60
2007,Estonia,0,5,Male,Above 60
2007,Estonia,0,6,Female,Unknown
2007,Estonia,0,6,Male,Unknown
2007,Latvia,0,1,Female,0 to 4
2007,Latvia,2,1,Male,0 to 4
2007,Latvia,0,2,Female,5 to 11
2007,Latvia,1,2,Male,5 to 11
2007,Latvia,2,3,Female,12 to 17
2007,Latvia,1,3,Male,12 to 17
2007,Latvia,6,4,Female,18 to 59
2007,Latvia,33,4,Male,18 to 59
2007,Latvia,0,5,Female,Above 60
2007,Latvia,0,5,Male,Above 60
2007,Latvia,0,6,Female,Unknown
2007,Latvia,0,6,Male,Unknown
2007,Lithuania,0,1,Female,0 to 4
2007,Lithuania,0,1,Male,0 to 4
2007,Lithuania,0,2,Female,5 to 11
2007,Lithuania,0,2,Male,5 to 11
