Host Country,Year,NEET %,COB
No Data,-,0,-
United Kingdom,'06,11.7,EU-28
United Kingdom,'06,17.3,Extra-EU-28
United Kingdom,'06,15.2,Foreign country
United Kingdom,'06,12.6,Reporting country
United Kingdom,'07,11.7,EU-28
United Kingdom,'07,17.3,Extra-EU-28
United Kingdom,'07,15.2,Foreign country
United Kingdom,'07,12.6,Reporting country
United Kingdom,'08,10.7,EU-28
United Kingdom,'08,16.8,Extra-EU-28
United Kingdom,'08,14.5,Foreign country
United Kingdom,'08,12.9,Reporting country
United Kingdom,'09,10,EU-28
United Kingdom,'09,18.1,Extra-EU-28
United Kingdom,'09,15.1,Foreign country
United Kingdom,'09,14.3,Reporting country
United Kingdom,'10,9.8,EU-28
United Kingdom,'10,17.3,Extra-EU-28
United Kingdom,'10,14.4,Foreign country
United Kingdom,'10,14.7,Reporting country
United Kingdom,'10,14.6,Total
United Kingdom,'11,11.9,EU-28
United Kingdom,'11,17,Extra-EU-28
United Kingdom,'11,15,Foreign country
United Kingdom,'11,15.5,Reporting country
United Kingdom,'11,15.4,Total
United Kingdom,'12,13.9,EU-28
United Kingdom,'12,18.2,Extra-EU-28
United Kingdom,'12,16.5,Foreign country
United Kingdom,'12,15.1,Reporting country
United Kingdom,'12,15.3,Total
United Kingdom,'13,13,EU-28
United Kingdom,'13,17.6,Extra-EU-28
United Kingdom,'13,15.8,Foreign country
United Kingdom,'13,14.4,Reporting country
United Kingdom,'13,14.6,Total
United Kingdom,'14,10.6,EU-28
United Kingdom,'14,16.8,Extra-EU-28
United Kingdom,'14,14.2,Foreign country
United Kingdom,'14,13.3,Reporting country
United Kingdom,'14,13.4,Total
United Kingdom,'15,10.6,EU-28
United Kingdom,'15,15.2,Extra-EU-28
United Kingdom,'15,13.1,Foreign country
United Kingdom,'15,12.6,Reporting country
United Kingdom,'15,12.7,Total
United Kingdom,'16,9.3,EU-28
United Kingdom,'16,17.5,Extra-EU-28
United Kingdom,'16,13.6,Foreign country
United Kingdom,'16,12.1,Reporting country
United Kingdom,'16,12.3,Total
Turkey,'10,35.2,Total
Turkey,'11,32.7,Total
Turkey,'12,27.4,EU-28
Turkey,'12,52.3,Extra-EU-28
Turkey,'12,38.1,Foreign country
Turkey,'12,31.7,Reporting country
Turkey,'12,31.7,Total
Turkey,'13,29.9,EU-28
Turkey,'13,46.5,Extra-EU-28
Turkey,'13,38.1,Foreign country
Turkey,'13,29.2,Reporting country
Turkey,'13,29.3,Total
Turkey,'14,21.6,EU-28
Turkey,'14,50.7,Extra-EU-28
Turkey,'14,43.3,Foreign country
Turkey,'14,28.2,Reporting country
Turkey,'14,28.4,Total
Turkey,'15,30.9,EU-28
Turkey,'15,53.4,Extra-EU-28
Turkey,'15,48,Foreign country
Turkey,'15,27.4,Reporting country
Turkey,'15,27.9,Total
Turkey,'16,30.2,EU-28
Turkey,'16,52.6,Extra-EU-28
Turkey,'16,48.6,Foreign country
Turkey,'16,27.2,Reporting country
Turkey,'16,27.8,Total
Switzerland,'06,9.9,EU-28
Switzerland,'06,18.4,Extra-EU-28
Switzerland,'06,15.1,Foreign country
Switzerland,'06,6,Reporting country
Switzerland,'07,7,EU-28
Switzerland,'07,17,Extra-EU-28
Switzerland,'07,13.1,Foreign country
Switzerland,'07,5.4,Reporting country
Switzerland,'08,7.4,EU-28
Switzerland,'08,14.7,Extra-EU-28
Switzerland,'08,11.8,Foreign country
Switzerland,'08,5.4,Reporting country
Switzerland,'09,6.8,EU-28
Switzerland,'09,20,Extra-EU-28
Switzerland,'09,14.5,Foreign country
Switzerland,'09,7.1,Reporting country
Switzerland,'10,7.8,EU-28
Switzerland,'10,17.9,Extra-EU-28
Switzerland,'10,13.7,Foreign country
Switzerland,'10,6.1,Reporting country
Switzerland,'10,7.9,Total
Switzerland,'11,7.3,EU-28
Switzerland,'11,17.1,Extra-EU-28
Switzerland,'11,12.8,Foreign country
Switzerland,'11,6.2,Reporting country
Switzerland,'11,7.7,Total
Switzerland,'12,6.3,EU-28
Switzerland,'12,17.8,Extra-EU-28
Switzerland,'12,12.6,Foreign country
Switzerland,'12,6.2,Reporting country
Switzerland,'12,7.6,Total
Switzerland,'13,7.9,EU-28
Switzerland,'13,17.6,Extra-EU-28
Switzerland,'13,13.2,Foreign country
Switzerland,'13,6.1,Reporting country
Switzerland,'13,7.7,Total
Switzerland,'14,7.1,EU-28
Switzerland,'14,17.8,Extra-EU-28
Switzerland,'14,12.8,Foreign country
Switzerland,'14,6,Reporting country
Switzerland,'14,7.5,Total
Switzerland,'15,6.3,EU-28
Switzerland,'15,15.9,Extra-EU-28
Switzerland,'15,11.2,Foreign country
Switzerland,'15,6,Reporting country
Switzerland,'15,7.2,Total
Switzerland,'16,7.6,EU-28
Switzerland,'16,16.7,Extra-EU-28
Switzerland,'16,12,Foreign country
Switzerland,'16,5.8,Reporting country
Switzerland,'16,7.2,Total
Sweden,'06,13.1,EU-28
Sweden,'06,17.1,Extra-EU-28
Sweden,'06,16.6,Foreign country
Sweden,'06,8.7,Reporting country
Sweden,'07,12.3,EU-28
Sweden,'07,13.8,Extra-EU-28
Sweden,'07,13.6,Foreign country
Sweden,'07,7.1,Reporting country
Sweden,'08,8.7,EU-28
Sweden,'08,13.6,Extra-EU-28
Sweden,'08,12.7,Foreign country
Sweden,'08,7.3,Reporting country
Sweden,'09,11.4,EU-28
Sweden,'09,15.9,Extra-EU-28
Sweden,'09,15.2,Foreign country
Sweden,'09,9.1,Reporting country
Sweden,'10,9.2,EU-28
Sweden,'10,12.7,Extra-EU-28
Sweden,'10,12.2,Foreign country
Sweden,'10,7.6,Reporting country
Sweden,'10,8.3,Total
Sweden,'11,9.4,EU-28
Sweden,'11,13.9,Extra-EU-28
