Host Country,Year,Age,Primary %,Secondary %,Tertiary %,COB
No Data,-,-,0,0,0,-
United Kingdom,'06,25 to 54,16.2,52.7,31.1,EU-28
United Kingdom,'06,25 to 54,22.3,46,31.7,Extra-EU-28
United Kingdom,'06,25 to 54,20.7,47.7,31.5,Foreign country
United Kingdom,'06,25 to 54,26.5,41,32.5,Reporting country
United Kingdom,'06,30 to 34,12.2,55.1,32.7,EU-28
United Kingdom,'06,30 to 34,21.5,47,31.5,Extra-EU-28
United Kingdom,'06,30 to 34,18.9,49.2,31.9,Foreign country
United Kingdom,'06,30 to 34,22.9,39.7,37.4,Reporting country
United Kingdom,'07,25 to 54,16.1,52.3,31.6,EU-28
United Kingdom,'07,25 to 54,23.1,43.1,33.8,Extra-EU-28
United Kingdom,'07,25 to 54,21.1,45.7,33.2,Foreign country
United Kingdom,'07,25 to 54,25.8,40.6,33.6,Reporting country
United Kingdom,'07,30 to 34,12.8,53.2,34,EU-28
United Kingdom,'07,30 to 34,20.2,45.1,34.7,Extra-EU-28
United Kingdom,'07,30 to 34,18,47.5,34.5,Foreign country
United Kingdom,'07,30 to 34,20.8,40,39.2,Reporting country
United Kingdom,'08,25 to 54,14.7,55.2,30,EU-28
United Kingdom,'08,25 to 54,22.1,42.5,35.3,Extra-EU-28
United Kingdom,'08,25 to 54,19.9,46.3,33.8,Foreign country
United Kingdom,'08,25 to 54,25,41.1,33.9,Reporting country
United Kingdom,'08,30 to 34,11.2,57.8,31,EU-28
United Kingdom,'08,30 to 34,19.6,43.2,37.1,Extra-EU-28
United Kingdom,'08,30 to 34,16.9,47.9,35.2,Foreign country
United Kingdom,'08,30 to 34,18.7,40.7,40.7,Reporting country
United Kingdom,'09,25 to 54,15.5,53.3,31.2,EU-28
United Kingdom,'09,25 to 54,21.5,41,37.5,Extra-EU-28
United Kingdom,'09,25 to 54,19.8,44.6,35.6,Foreign country
United Kingdom,'09,25 to 54,24,40.7,35.3,Reporting country
United Kingdom,'09,30 to 34,12.3,54.1,33.6,EU-28
United Kingdom,'09,30 to 34,18.1,39.5,42.4,Extra-EU-28
United Kingdom,'09,30 to 34,16.3,44.1,39.6,Foreign country
United Kingdom,'09,30 to 34,19.1,39,41.9,Reporting country
United Kingdom,'10,25 to 54,13.4,52.1,34.5,EU-28
United Kingdom,'10,25 to 54,20,41.2,38.8,Extra-EU-28
United Kingdom,'10,25 to 54,18,44.5,37.5,Foreign country
United Kingdom,'10,25 to 54,22.3,40.5,37.2,Reporting country
United Kingdom,'10,25 to 54,21.6,41.1,37.3,Total
United Kingdom,'10,30 to 34,9.7,53.6,36.8,EU-28
United Kingdom,'10,30 to 34,15.6,39.1,45.2,Extra-EU-28
United Kingdom,'10,30 to 34,13.6,44,42.4,Foreign country
United Kingdom,'10,30 to 34,16.8,39.9,43.3,Reporting country
United Kingdom,'10,30 to 34,16,40.9,43.1,Total
United Kingdom,'11,25 to 54,14.9,37,48.1,EU-28
United Kingdom,'11,25 to 54,20.5,27.7,51.8,Extra-EU-28
United Kingdom,'11,25 to 54,18.7,30.7,50.6,Foreign country
United Kingdom,'11,25 to 54,22,41.2,36.8,Reporting country
United Kingdom,'11,25 to 54,21.4,39.4,39.2,Total
United Kingdom,'11,30 to 34,12,36.3,51.7,EU-28
United Kingdom,'11,30 to 34,17.6,26,56.4,Extra-EU-28
United Kingdom,'11,30 to 34,15.5,29.8,54.7,Foreign country
