Host Country,Year,Lifelong Learning %,COB
No Data,-,0,-
United Kingdom,'06,34.7,EU-28
United Kingdom,'06,35.4,Extra-EU-28
United Kingdom,'06,35.2,Foreign country
United Kingdom,'06,28.4,Reporting country
United Kingdom,'06,29.3,Total
United Kingdom,'07,23.7,EU-28
United Kingdom,'07,26.3,Extra-EU-28
United Kingdom,'07,25.5,Foreign country
United Kingdom,'07,22.2,Reporting country
United Kingdom,'07,22.7,Total
United Kingdom,'08,22.9,EU-28
United Kingdom,'08,26.5,Extra-EU-28
United Kingdom,'08,25.4,Foreign country
United Kingdom,'08,21.9,Reporting country
United Kingdom,'08,22.4,Total
United Kingdom,'09,24.8,EU-28
United Kingdom,'09,27.7,Extra-EU-28
United Kingdom,'09,26.8,Foreign country
United Kingdom,'09,21.8,Reporting country
United Kingdom,'09,22.6,Total
United Kingdom,'10,25.3,EU-28
United Kingdom,'10,26.6,Extra-EU-28
United Kingdom,'10,26.2,Foreign country
United Kingdom,'10,21.3,Reporting country
United Kingdom,'10,22.1,Total
United Kingdom,'11,18.9,EU-28
United Kingdom,'11,23.7,Extra-EU-28
United Kingdom,'11,22.2,Foreign country
United Kingdom,'11,17.3,Reporting country
United Kingdom,'11,18.2,Total
United Kingdom,'12,17.8,EU-28
United Kingdom,'12,22.3,Extra-EU-28
United Kingdom,'12,20.8,Foreign country
United Kingdom,'12,17.4,Reporting country
United Kingdom,'12,18,Total
United Kingdom,'13,18.5,EU-28
United Kingdom,'13,22,Extra-EU-28
United Kingdom,'13,20.8,Foreign country
United Kingdom,'13,17.6,Reporting country
United Kingdom,'13,18.2,Total
United Kingdom,'14,18.3,EU-28
United Kingdom,'14,21.9,Extra-EU-28
United Kingdom,'14,20.6,Foreign country
United Kingdom,'14,17.3,Reporting country
United Kingdom,'14,17.9,Total
United Kingdom,'15,17.5,EU-28
United Kingdom,'15,20,Extra-EU-28
United Kingdom,'15,19.1,Foreign country
United Kingdom,'15,16.7,Reporting country
United Kingdom,'15,17.1,Total
United Kingdom,'16,16.4,EU-28
United Kingdom,'16,17.4,Extra-EU-28
United Kingdom,'16,17,Foreign country
United Kingdom,'16,15.4,Reporting country
United Kingdom,'16,15.8,Total
Turkey,'06,2.3,Total
Turkey,'07,2,Total
Turkey,'08,2.4,Total
Turkey,'09,3,Total
Turkey,'10,3.4,Total
Turkey,'11,3.9,Total
Turkey,'12,6.6,EU-28
Turkey,'12,3.1,Extra-EU-28
Turkey,'12,5.7,Foreign country
Turkey,'12,4.5,Reporting country
Turkey,'12,4.6,Total
Turkey,'13,5.5,EU-28
Turkey,'13,5.1,Extra-EU-28
Turkey,'13,5.4,Foreign country
Turkey,'13,5.3,Reporting country
Turkey,'13,5.3,Total
Turkey,'14,7.2,EU-28
Turkey,'14,3.9,Extra-EU-28
Turkey,'14,5.7,Foreign country
Turkey,'14,6.7,Reporting country
Turkey,'14,6.7,Total
Turkey,'15,5.4,EU-28
Turkey,'15,3.8,Extra-EU-28
Turkey,'15,4.6,Foreign country
Turkey,'15,6.5,Reporting country
Turkey,'15,6.4,Total
Turkey,'16,6.2,EU-28
Turkey,'16,3.1,Extra-EU-28
Turkey,'16,4.6,Foreign country
Turkey,'16,6.9,Reporting country
Turkey,'16,6.8,Total
Switzerland,'06,20.8,EU-28
Switzerland,'06,16.7,Extra-EU-28
Switzerland,'06,18.8,Foreign country
Switzerland,'06,27,Reporting country
Switzerland,'06,24.6,Total
Switzerland,'07,25.1,EU-28
Switzerland,'07,18.1,Extra-EU-28
Switzerland,'07,21.8,Foreign country
Switzerland,'07,31.9,Reporting country
Switzerland,'07,28.9,Total
Switzerland,'08,26.5,EU-28
Switzerland,'08,19.7,Extra-EU-28
Switzerland,'08,23.3,Foreign country
Switzerland,'08,32.7,Reporting country
Switzerland,'08,29.8,Total
Switzerland,'09,22.4,EU-28
Switzerland,'09,17.7,Extra-EU-28
Switzerland,'09,20.3,Foreign country
Switzerland,'09,28.2,Reporting country
Switzerland,'09,25.7,Total
Switzerland,'10,29.4,EU-28
Switzerland,'10,21.4,Extra-EU-28
Switzerland,'10,25.8,Foreign country
Switzerland,'10,36.3,Reporting country
Switzerland,'10,32.7,Total
Switzerland,'11,28.1,EU-28
Switzerland,'11,21.9,Extra-EU-28
Switzerland,'11,25.3,Foreign country
Switzerland,'11,35.4,Reporting country
Switzerland,'11,31.9,Total
Switzerland,'12,28.3,EU-28
Switzerland,'12,22.9,Extra-EU-28
Switzerland,'12,25.9,Foreign country
Switzerland,'12,35.3,Reporting country
Switzerland,'12,32,Total
Switzerland,'13,29.5,EU-28
Switzerland,'13,24.7,Extra-EU-28
Switzerland,'13,27.4,Foreign country
Switzerland,'13,35.2,Reporting country
Switzerland,'13,32.4,Total
Switzerland,'14,30.4,EU-28
Switzerland,'14,25.6,Extra-EU-28
Switzerland,'14,28.3,Foreign country
Switzerland,'14,36.7,Reporting country
Switzerland,'14,33.6,Total
Switzerland,'15,30.5,EU-28
Switzerland,'15,24.4,Extra-EU-28
Switzerland,'15,27.9,Foreign country
Switzerland,'15,37.8,Reporting country
Switzerland,'15,34.1,Total
Switzerland,'16,31.9,EU-28
Switzerland,'16,25.8,Extra-EU-28
Switzerland,'16,29.2,Foreign country
Switzerland,'16,38.2,Reporting country
Switzerland,'16,34.8,Total
Sweden,'06,18.7,EU-28
Sweden,'06,23.1,Extra-EU-28
Sweden,'06,21.8,Foreign country
Sweden,'06,21,Reporting country
Sweden,'06,21.1,Total
Sweden,'07,18.4,EU-28
Sweden,'07,23.3,Extra-EU-28
Sweden,'07,21.8,Foreign country
Sweden,'07,21.1,Reporting country
Sweden,'07,21.3,Total
Sweden,'08,23.2,EU-28
Sweden,'08,25.3,Extra-EU-28
Sweden,'08,24.7,Foreign country
Sweden,'08,25.3,Reporting country
Sweden,'08,25.1,Total
Sweden,'09,22.6,EU-28
Sweden,'09,25.3,Extra-EU-28
Sweden,'09,24.6,Foreign country
Sweden,'09,25,Reporting country
Sweden,'09,24.9,Total
Sweden,'10,25.6,EU-28
Sweden,'10,29.6,Extra-EU-28
Sweden,'10,28.6,Foreign country
Sweden,'10,27,Reporting country
Sweden,'10,27.3,Total
Sweden,'11,24.6,EU-28
Sweden,'11,29.5,Extra-EU-28
Sweden,'11,28.3,Foreign country
Sweden,'11,27.7,Reporting country
Sweden,'11,27.8,Total
Sweden,'12,26.8,EU-28
Sweden,'12,30.9,Extra-EU-28
Sweden,'12,29.8,Foreign country
Sweden,'12,29.6,Reporting country
Sweden,'12,29.6,Total
Sweden,'13,28.9,EU-28
Sweden,'13,32.9,Extra-EU-28
Sweden,'13,31.9,Foreign country
Sweden,'13,30.9,Reporting country
Sweden,'13,31.1,Total
Sweden,'14,27.2,EU-28
Sweden,'14,32.7,Extra-EU-28
Sweden,'14,31.4,Foreign country
Sweden,'14,32.1,Reporting country
Sweden,'14,31.9,Total
Sweden,'15,27.1,EU-28
Sweden,'15,31.2,Extra-EU-28
Sweden,'15,30.2,Foreign country
Sweden,'15,32.5,Reporting country
Sweden,'15,32,Total
Sweden,'16,29.5,EU-28
Sweden,'16,31.4,Extra-EU-28
Sweden,'16,31,Foreign country
Sweden,'16,32.5,Reporting country
Sweden,'16,32.1,Total
Spain,'06,6.8,EU-28
Spain,'06,9.1,Extra-EU-28
Spain,'06,8.5,Foreign country
Spain,'06,12.8,Reporting country
Spain,'06,12.1,Total
Spain,'07,7.9,EU-28
Spain,'07,9,Extra-EU-28
Spain,'07,8.7,Foreign country
Spain,'07,12.9,Reporting country
Spain,'07,12.2,Total
Spain,'08,6.4,EU-28
Spain,'08,9.2,Extra-EU-28
Spain,'08,8.4,Foreign country
Spain,'08,12.9,Reporting country
Spain,'08,12.1,Total
Spain,'09,6.8,EU-28
Spain,'09,8.8,Extra-EU-28
Spain,'09,8.3,Foreign country
Spain,'09,13.1,Reporting country
Spain,'09,12.1,Total
Spain,'10,7.9,EU-28
Spain,'10,9.2,Extra-EU-28
Spain,'10,8.8,Foreign country
Spain,'10,13.5,Reporting country
Spain,'10,12.6,Total
Spain,'11,7.3,EU-28
Spain,'11,9.9,Extra-EU-28
Spain,'11,9.2,Foreign country
Spain,'11,13.4,Reporting country
Spain,'11,12.6,Total
Spain,'12,7.7,EU-28
Spain,'12,9.9,Extra-EU-28
Spain,'12,9.3,Foreign country
Spain,'12,13.4,Reporting country
Spain,'12,12.6,Total
Spain,'13,6.6,EU-28
Spain,'13,9.4,Extra-EU-28
Spain,'13,8.6,Foreign country
Spain,'13,13.8,Reporting country
Spain,'13,12.9,Total
Spain,'14,5.9,EU-28
Spain,'14,8.7,Extra-EU-28
Spain,'14,7.8,Foreign country
Spain,'14,12.5,Reporting country
Spain,'14,11.7,Total
Spain,'15,6.1,EU-28
Spain,'15,8,Extra-EU-28
Spain,'15,7.4,Foreign country
Spain,'15,12.4,Reporting country
Spain,'15,11.5,Total
Spain,'16,6.1,EU-28
Spain,'16,8.2,Extra-EU-28
Spain,'16,7.6,Foreign country
Spain,'16,11.7,Reporting country
Spain,'16,11,Total
Slovenia,'06,12.2,EU-28
Slovenia,'06,8.9,Extra-EU-28
Slovenia,'06,10,Foreign country
Slovenia,'06,18.4,Reporting country
Slovenia,'06,17.7,Total
Slovenia,'07,13.7,EU-28
Slovenia,'07,9.2,Extra-EU-28
Slovenia,'07,10.4,Foreign country
Slovenia,'07,18.4,Reporting country
Slovenia,'07,17.7,Total
Slovenia,'08,11.5,EU-28
Slovenia,'08,7.6,Extra-EU-28
Slovenia,'08,8.6,Foreign country
Slovenia,'08,17.5,Reporting country
Slovenia,'08,16.7,Total
Slovenia,'09,10.3,EU-28
Slovenia,'09,8.2,Extra-EU-28
Slovenia,'09,8.8,Foreign country
Slovenia,'09,18.1,Reporting country
Slovenia,'09,17.2,Total
Slovenia,'10,13.5,EU-28
Slovenia,'10,8.7,Extra-EU-28
Slovenia,'10,9.9,Foreign country
Slovenia,'10,20.4,Reporting country
Slovenia,'10,19.3,Total
Slovenia,'11,11.9,EU-28
Slovenia,'11,7.5,Extra-EU-28
