Host Country,Year,Sex,Employment %,COC
No Data,-,-,0,-
United Kingdom,'06,Females,68.9,EU-28
United Kingdom,'06,Females,53.5,Extra-EU-28
United Kingdom,'06,Females,59.3,Foreign country
United Kingdom,'06,Females,69.3,Reporting country
United Kingdom,'06,Females,68.6,Total
United Kingdom,'06,Males,84.2,EU-28
United Kingdom,'06,Males,76.9,Extra-EU-28
United Kingdom,'06,Males,79.7,Foreign country
United Kingdom,'06,Males,82.3,Reporting country
United Kingdom,'06,Males,82.1,Total
United Kingdom,'06,Total,76.5,EU-28
United Kingdom,'06,Total,64.8,Extra-EU-28
United Kingdom,'06,Total,69.3,Foreign country
United Kingdom,'06,Total,75.7,Reporting country
United Kingdom,'06,Total,75.2,Total
United Kingdom,'07,Females,69.8,EU-28
United Kingdom,'07,Females,51,Extra-EU-28
United Kingdom,'07,Females,58.7,Foreign country
United Kingdom,'07,Females,69.3,Reporting country
United Kingdom,'07,Females,68.4,Total
United Kingdom,'07,Males,86.6,EU-28
United Kingdom,'07,Males,76.8,Extra-EU-28
United Kingdom,'07,Males,81,Foreign country
United Kingdom,'07,Males,82.3,Reporting country
United Kingdom,'07,Males,82.2,Total
United Kingdom,'07,Total,78.3,EU-28
United Kingdom,'07,Total,63.7,Extra-EU-28
United Kingdom,'07,Total,69.8,Foreign country
United Kingdom,'07,Total,75.7,Reporting country
United Kingdom,'07,Total,75.2,Total
United Kingdom,'08,Females,70.4,EU-28
United Kingdom,'08,Females,53.1,Extra-EU-28
United Kingdom,'08,Females,60.3,Foreign country
United Kingdom,'08,Females,69.6,Reporting country
United Kingdom,'08,Females,68.8,Total
United Kingdom,'08,Males,87.9,EU-28
United Kingdom,'08,Males,77.3,Extra-EU-28
United Kingdom,'08,Males,81.7,Foreign country
United Kingdom,'08,Males,81.9,Reporting country
United Kingdom,'08,Males,81.9,Total
United Kingdom,'08,Total,79,EU-28
United Kingdom,'08,Total,64.9,Extra-EU-28
United Kingdom,'08,Total,70.9,Foreign country
United Kingdom,'08,Total,75.7,Reporting country
United Kingdom,'08,Total,75.2,Total
United Kingdom,'09,Females,70.2,EU-28
United Kingdom,'09,Females,53.3,Extra-EU-28
United Kingdom,'09,Females,60.6,Foreign country
United Kingdom,'09,Females,68.9,Reporting country
United Kingdom,'09,Females,68.2,Total
United Kingdom,'09,Males,86.2,EU-28
United Kingdom,'09,Males,73.1,Extra-EU-28
United Kingdom,'09,Males,78.6,Foreign country
United Kingdom,'09,Males,79.8,Reporting country
United Kingdom,'09,Males,79.7,Total
United Kingdom,'09,Total,77.9,EU-28
United Kingdom,'09,Total,63,Extra-EU-28
United Kingdom,'09,Total,69.4,Foreign country
United Kingdom,'09,Total,74.3,Reporting country
United Kingdom,'09,Total,73.9,Total
United Kingdom,'10,Females,70.6,EU-28
United Kingdom,'10,Females,52.7,Extra-EU-28
United Kingdom,'10,Females,60.9,Foreign country
